"Pt-0","false","Infinity","Infinity","698.1665184899266","2496.379670434202"
"Pt-1","false","Infinity","Infinity","335.8166213634918","484.54446258879227"
"Pt-2","false","Infinity","Infinity","1693.4523809523816","26.95238095238119"
"Pt-3","false","Infinity","Infinity","4965.156827954277","450.016311002661"
"Pt-4","false","Infinity","Infinity","8054.285639006191","1917.1715981399166"
"Pt-5","false","Infinity","Infinity","9974.478531334087","4649.410866698312"
"Pt-6","false","Infinity","Infinity","9278.321499935111","6762.854491873765"
"Pt-7","false","Infinity","Infinity","8583.844577653956","8453.063356550836"
"Pt-8","false","Infinity","Infinity","7126.139904304445","9161.496639799347"
"Pt-9","false","Infinity","Infinity","5194.396261791528","9338.996349667332"
"Pt-10","false","Infinity","Infinity","4088.445342836736","8064.881781737904"
"Pt-11","false","Infinity","Infinity","5151.4675646162905","6825.829945568457"
"Pt-12","false","Infinity","Infinity","4146.705035712089","6716.030996289038"
"Pt-13","false","Infinity","Infinity","3003.06621450072","8272.19388237268"
"Pt-14","false","Infinity","Infinity","1544.4164797724334","9218.69671840153"
"Pt-15","false","Infinity","Infinity","60.574654351362824","9847.668477236732"
"Pt-16","false","Infinity","Infinity","26.95238095238119","6878.119047619048"
"Pt-17","false","Infinity","Infinity","26.95238095238119","4603.214285714285"
