"Pt-0","false","Infinity","Infinity","41.86272131942815","1146.6650497210767"
"Pt-1","false","Infinity","Infinity","930.041561441808","367.5727261728279"
"Pt-2","false","Infinity","Infinity","2226.462001468464","51.18219468041403"
"Pt-3","false","Infinity","Infinity","6881.528813702209","742.6719833504789"
"Pt-4","false","Infinity","Infinity","9931.19088042687","4218.554450642735"
"Pt-5","false","Infinity","Infinity","9442.897089765887","6379.082013629617"
"Pt-6","false","Infinity","Infinity","8171.996996105747","7859.398116266494"
"Pt-7","false","Infinity","Infinity","5525.425257062689","9523.779340805351"
"Pt-8","false","Infinity","Infinity","2112.793836928212","9864.927651851354"
"Pt-9","false","Infinity","Infinity","605.6864432366078","9017.244335319016"
"Pt-10","false","Infinity","Infinity","24.5603629174484","7985.1357958897015"
