"Pt-0","false","Infinity","Infinity","15.994960916528726","886.6694581145314"
"Pt-1","false","Infinity","Infinity","437.68380168752446","303.5934934871685"
"Pt-2","false","Infinity","Infinity","1838.881154959788","8.889643378331126"
"Pt-3","false","Infinity","Infinity","5570.342140829069","633.8248218264508"
"Pt-4","false","Infinity","Infinity","8405.23945989071","2319.243485174701"
"Pt-5","false","Infinity","Infinity","9974.085319991982","5383.55801884027"
"Pt-6","false","Infinity","Infinity","9317.28070258578","7078.263227720979"
"Pt-7","false","Infinity","Infinity","8528.285000809827","8799.77248708752"
"Pt-8","false","Infinity","Infinity","6891.268344725655","9941.582707474869"
"Pt-9","false","Infinity","Infinity","5806.4431509581445","9838.658015209408"
"Pt-10","false","Infinity","Infinity","3677.380952380953","9576.261904761905"
"Pt-11","false","Infinity","Infinity","2525.7263401111372","9609.311153223152"
"Pt-12","false","Infinity","Infinity","463.0107440487718","9826.416956581292"
"Pt-13","false","Infinity","Infinity","26.95238095238119","5185.166666666667"
